,Model,Sensitivity,Specificity,Accuracy,MCC,AUC,running_time,n_feature
0,sfe_knn,"0.74 (0.6049182446958254, 0.8474684596494529)","0.85 (0.774792419807628, 0.9075808923129954)","0.82 (0.7528207861715982, 0.8727991295736485)","0.58 (0.5713947911001158, 0.5980747686630802)",0.79 0.7859943977591036,,
1,sfe_dt,"0.52 (0.3868568276805605, 0.6489588555454449)","0.77 (0.6795448838800336, 0.8397359253040306)","0.69 (0.6093349335305244, 0.7535246176017187)","0.29 (0.27791673352661306, 0.3021540624720704)",0.65 0.645658263305322,,
2,sfe_svm,"0.67 (0.5375618936197395, 0.7847792554143083)","0.85 (0.7646197658147565, 0.9030269888504691)","0.79 (0.717838210577854, 0.8452197135928682)","0.52 (0.5084369846011487, 0.5351197872060847)",0.76 0.7621848739495799,,
